country,year_1960,GNI_1960,life_expectancy_1960,population_1960,year_2020,GNI_2020,life_expectancy_2020,population_2020,GNI_change,life_expectancy_change,population_change,Hollow_Growth
Afghanistan,1960,469.0,45.0,8620000.0,2020,500.0,63.4,39000000.0,31.0,18.4,30380000.0,Balanced Development
Albania,1960,736.0,62.5,1710000.0,2020,5210.0,77.9,2870000.0,4474.0,15.400000000000006,1160000.0,Economic Growth Only
Algeria,1960,3670.0,52.4,11400000.0,2020,3570.0,76.2,43500000.0,-100.0,23.800000000000004,32100000.0,Balanced Development
Angola,1960,1720.0,46.3,5360000.0,2020,2140.0,65.2,33400000.0,420.0,18.900000000000006,28040000.0,Balanced Development
Argentina,1960,4740.0,65.3,20300000.0,2020,9070.0,74.6,45000000.0,4330.0,9.299999999999997,24700000.0,Hollow Growth
Armenia,1960,1290.0,59.2,1900000.0,2020,4220.0,74.0,2810000.0,2930.0,14.799999999999997,910000.0,Balanced Development
Azerbaijan,1960,209.0,48.6,4130000.0,2020,4480.0,70.4,10300000.0,4271.0,21.800000000000004,6170000.0,Economic Growth Only
Bangladesh,1960,365.0,43.8,50400000.0,2020,2030.0,74.7,167000000.0,1665.0,30.900000000000006,116600000.0,Balanced Development
Belarus,1960,7140.0,71.0,8390000.0,2020,6360.0,73.5,9630000.0,-780.0,2.5,1240000.0,Balanced Development
Belize,1960,2040.0,63.9,91400.0,2020,4110.0,72.1,395000.0,2070.0,8.199999999999996,303600.0,Balanced Development
Benin,1960,513.0,44.8,2510000.0,2020,1280.0,64.6,12600000.0,767.0,19.799999999999997,10090000.0,Balanced Development
Bhutan,1960,411.0,42.2,221000.0,2020,2840.0,73.3,773000.0,2429.0,31.099999999999994,552000.0,Balanced Development
Bolivia,1960,856.0,43.0,3710000.0,2020,3180.0,69.8,11900000.0,2324.0,26.799999999999997,8190000.0,Balanced Development
Bosnia and Herzegovina,1960,994.0,61.3,3260000.0,2020,6080.0,75.4,3320000.0,5086.0,14.100000000000009,60000.0,Economic Growth Only
Botswana,1960,432.0,54.4,513000.0,2020,6640.0,61.6,2550000.0,6208.0,7.200000000000003,2037000.0,Potential Hollow Growth
Brazil,1960,1490.0,52.4,73100000.0,2020,7850.0,73.6,213000000.0,6360.0,21.199999999999996,139900000.0,Economic Growth Only
Bulgaria,1960,2210.0,69.4,7890000.0,2020,9630.0,71.8,6980000.0,7420.0,2.3999999999999915,-910000.0,Potential Hollow Growth
Burkina Faso,1960,421.0,39.5,4780000.0,2020,770.0,61.8,21500000.0,349.0,22.299999999999997,16720000.0,Balanced Development
Burundi,1960,320.0,43.9,2750000.0,2020,230.0,64.0,12200000.0,-90.0,20.1,9450000.0,Balanced Development
Cambodia,1960,296.0,49.4,5540000.0,2020,1500.0,70.0,16399999.999999998,1204.0,20.6,10859999.999999998,Balanced Development
Cameroon,1960,1460.0,27.5,5120000.0,2020,1520.0,63.5,26500000.0,60.0,36.0,21380000.0,Balanced Development
Cape Verde,1960,1150.0,56.8,210000.0,2020,3060.0,73.1,583000.0,1910.0,16.299999999999997,373000.0,Balanced Development
Central African Republic,1960,1260.0,45.8,1680000.0,2020,500.0,52.4,5340000.0,-760.0,6.600000000000001,3660000.0,Balanced Development
Chad,1960,550.0,47.4,3030000.0,2020,630.0,60.5,16600000.000000002,80.0,13.100000000000001,13570000.000000002,Balanced Development
Colombia,1960,1320.0,59.3,15700000.0,2020,5790.0,77.8,50900000.0,4470.0,18.5,35200000.0,Economic Growth Only
Comoros,1960,569.0,47.1,195000.0,2020,1400.0,68.8,806000.0,831.0,21.699999999999996,611000.0,Balanced Development
"Congo, Dem. Rep.",1960,688.0,47.5,15300000.0,2020,550.0,65.2,92900000.0,-138.0,17.700000000000003,77600000.0,Balanced Development
"Congo, Rep.",1960,738.0,43.7,1060000.0,2020,1770.0,65.4,5700000.0,1032.0,21.700000000000003,4640000.0,Balanced Development
Cote d'Ivoire,1960,1340.0,45.6,3710000.0,2020,2280.0,64.4,26800000.0,940.0,18.800000000000004,23090000.0,Balanced Development
Cuba,1960,3000.0,69.3,7270000.0,2020,9360.0,78.7,11300000.0,6360.0,9.400000000000006,4030000.0,Potential Hollow Growth
Djibouti,1960,2970.0,56.2,85900.0,2020,3310.0,66.8,1090000.0,340.0,10.599999999999994,1004100.0,Balanced Development
Dominican Republic,1960,669.0,61.9,3300000.0,2020,7260.0,72.7,11000000.0,6591.0,10.800000000000004,7700000.0,Potential Hollow Growth
Ecuador,1960,1360.0,56.1,4620000.0,2020,5530.0,73.9,17600000.0,4170.0,17.800000000000004,12980000.0,Economic Growth Only
Egypt,1960,461.0,46.9,27000000.0,2020,3000.0,71.0,107000000.0,2539.0,24.1,80000000.0,Balanced Development
El Salvador,1960,979.0,53.5,2780000.0,2020,3630.0,75.1,6290000.0,2651.0,21.599999999999994,3510000.0,Balanced Development
Equatorial Guinea,1960,277.0,40.4,267000.0,2020,5810.0,66.1,1600000.0,5533.0,25.699999999999996,1333000.0,Economic Growth Only
Eritrea,1960,190.0,42.1,994000.0,2020,458.0,64.0,3560000.0,268.0,21.9,2566000.0,Balanced Development
Eswatini,1960,412.0,45.6,345000.0,2020,3410.0,58.0,1180000.0,2998.0,12.399999999999999,835000.0,Balanced Development
Ethiopia,1960,471.0,38.4,21700000.0,2020,890.0,69.0,117000000.0,419.0,30.6,95300000.0,Balanced Development
Fiji,1960,2110.0,64.6,402000.0,2020,4890.0,68.4,920000.0,2780.0,3.8000000000000114,518000.0,Balanced Development
Gabon,1960,2550.0,50.0,513000.0,2020,7030.0,67.8,2290000.0,4480.0,17.799999999999997,1777000.0,Economic Growth Only
Gambia,1960,322.0,53.9,400000.0,2020,750.0,66.9,2570000.0,428.0,13.000000000000007,2170000.0,Balanced Development
Georgia,1960,4400.0,59.3,4050000.0,2020,4270.0,72.6,3770000.0,-130.0,13.299999999999997,-280000.0,Balanced Development
Ghana,1960,882.0,51.0,6910000.0,2020,2340.0,66.4,32200000.000000004,1458.0,15.400000000000006,25290000.000000004,Balanced Development
Grenada,1960,1230.0,64.1,93800.0,2020,9410.0,73.3,124000.0,8180.0,9.200000000000003,30200.0,Potential Hollow Growth
Guatemala,1960,1290.0,47.9,4099999.9999999995,2020,4490.0,71.5,17400000.0,3200.0,23.6,13300000.0,Balanced Development
Guinea,1960,765.0,41.1,3520000.0,2020,1020.0,61.3,13200000.0,255.0,20.199999999999996,9680000.0,Balanced Development
Guinea-Bissau,1960,186.0,37.4,578000.0,2020,760.0,61.0,2020000.0,574.0,23.6,1442000.0,Balanced Development
Guyana,1960,579.0,58.9,572000.0,2020,7130.0,66.8,797000.0,6551.0,7.899999999999999,225000.0,Potential Hollow Growth
Haiti,1960,428.0,45.4,3900000.0,2020,1320.0,63.9,11300000.0,892.0,18.5,7400000.0,Balanced Development
Honduras,1960,1560.0,49.0,2080000.0,2020,2180.0,70.7,10100000.0,620.0,21.700000000000003,8020000.0,Balanced Development
India,1960,565.0,45.8,446000000.0,2020,1920.0,70.8,1400000000.0,1355.0,25.0,954000000.0,Balanced Development
Indonesia,1960,430.0,44.8,88400000.0,2020,3870.0,71.4,272000000.0,3440.0,26.60000000000001,183600000.0,Economic Growth Only
Iran,1960,2660.0,44.5,21400000.0,2020,2960.0,76.2,87300000.0,300.0,31.700000000000003,65900000.0,Balanced Development
Iraq,1960,6320.0,60.5,7080000.0,2020,4680.0,72.1,42600000.0,-1640.0,11.599999999999994,35520000.0,Balanced Development
Jamaica,1960,1710.0,65.1,1640000.0,2020,4670.0,76.2,2820000.0,2960.0,11.100000000000009,1180000.0,Balanced Development
Jordan,1960,1690.0,59.4,848000.0,2020,4310.0,76.9,10900000.0,2620.0,17.500000000000007,10052000.0,Balanced Development
Kazakhstan,1960,2210.0,61.4,9320000.0,2020,8710.0,71.2,19000000.0,6500.0,9.800000000000004,9680000.0,Potential Hollow Growth
Kenya,1960,454.0,54.3,7750000.0,2020,1840.0,66.4,52000000.0,1386.0,12.100000000000009,44250000.0,Balanced Development
Kiribati,1960,1530.0,48.2,47100.0,2020,2960.0,60.8,126000.0,1430.0,12.599999999999994,78900.0,Balanced Development
Kyrgyz Republic,1960,1030.0,55.8,2220000.0,2020,1160.0,72.9,6420000.0,130.0,17.10000000000001,4200000.0,Balanced Development
Lao,1960,236.0,40.2,2120000.0,2020,2520.0,69.1,7320000.0,2284.0,28.89999999999999,5200000.0,Balanced Development
Lebanon,1960,2100.0,64.9,1800000.0,2020,5370.0,76.2,5660000.0,3270.0,11.299999999999997,3860000.0,Balanced Development
Lesotho,1960,437.0,53.3,738000.0,2020,1100.0,52.0,2250000.0,663.0,-1.2999999999999972,1512000.0,Balanced Development
Liberia,1960,428.0,40.8,1140000.0,2020,570.0,66.2,5090000.0,142.0,25.400000000000006,3950000.0,Balanced Development
Libya,1960,1840.0,52.8,1430000.0,2020,4960.0,75.5,6650000.0,3120.0,22.700000000000003,5220000.0,Balanced Development
Madagascar,1960,704.0,44.8,5070000.0,2020,470.0,65.6,28200000.0,-234.0,20.799999999999997,23130000.0,Balanced Development
Malawi,1960,296.0,37.7,3620000.0,2020,580.0,64.8,19400000.0,284.0,27.099999999999994,15780000.0,Balanced Development
Maldives,1960,584.0,37.8,91700.0,2020,6490.0,79.1,514000.0,5906.0,41.3,422300.0,Economic Growth Only
Mali,1960,387.0,37.7,5350000.0,2020,830.0,62.0,21200000.0,443.0,24.299999999999997,15850000.0,Balanced Development
Mauritania,1960,310.0,50.6,838000.0,2020,1670.0,70.7,4500000.0,1360.0,20.1,3662000.0,Balanced Development
Mexico,1960,1460.0,57.1,36300000.0,2020,8480.0,73.0,126000000.0,7020.0,15.899999999999999,89700000.0,Economic Growth Only
"Micronesia, Fed. Sts.",1960,1690.0,53.0,43000.0,2020,3950.0,64.2,112000.0,2260.0,11.200000000000003,69000.0,Balanced Development
Moldova,1960,918.0,58.4,3130000.0,2020,4560.0,73.3,3080000.0,3642.0,14.899999999999999,-50000.0,Economic Growth Only
Mongolia,1960,1250.0,43.9,978000.0,2020,3740.0,68.2,3290000.0,2490.0,24.300000000000004,2312000.0,Balanced Development
Montenegro,1960,632.0,70.8,473000.0,2020,7900.0,74.4,629000.0,7268.0,3.6000000000000085,156000.0,Potential Hollow Growth
Morocco,1960,1240.0,46.7,11800000.0,2020,2980.0,73.0,36700000.0,1740.0,26.299999999999997,24900000.0,Balanced Development
Mozambique,1960,314.0,45.1,6790000.0,2020,460.0,58.4,31200000.0,146.0,13.299999999999997,24410000.0,Balanced Development
Myanmar,1960,688.0,38.7,21700000.0,2020,1350.0,69.4,53400000.0,662.0,30.700000000000003,31700000.0,Balanced Development
Namibia,1960,2700.0,56.0,590000.0,2020,4500.0,65.4,2490000.0,1800.0,9.400000000000006,1900000.0,Balanced Development
Nepal,1960,297.0,44.6,10200000.0,2020,1190.0,71.1,29300000.0,893.0,26.499999999999993,19100000.0,Balanced Development
Nicaragua,1960,1200.0,53.6,1790000.0,2020,1850.0,75.4,6760000.0,650.0,21.800000000000004,4970000.0,Balanced Development
Niger,1960,689.0,40.3,3500000.0,2020,550.0,62.6,24300000.0,-139.0,22.300000000000004,20800000.0,Balanced Development
Nigeria,1960,960.0,46.8,44900000.0,2020,2000.0,64.5,208000000.0,1040.0,17.700000000000003,163100000.0,Balanced Development
North Macedonia,1960,1220.0,57.5,1460000.0,2020,5750.0,72.8,2110000.0,4530.0,15.299999999999997,650000.0,Economic Growth Only
Pakistan,1960,304.0,51.3,46000000.0,2020,1270.0,65.9,227000000.0,966.0,14.600000000000009,181000000.0,Balanced Development
Palestine,1960,832.0,58.8,1070000.0,2020,3710.0,73.6,5020000.0,2878.0,14.799999999999997,3950000.0,Balanced Development
Papua New Guinea,1960,661.0,53.7,1990000.0,2020,2720.0,64.8,9750000.0,2059.0,11.099999999999994,7760000.0,Balanced Development
Paraguay,1960,776.0,69.1,1890000.0,2020,5180.0,75.7,6620000.0,4404.0,6.6000000000000085,4730000.0,Potential Hollow Growth
Peru,1960,1180.0,47.3,10200000.0,2020,6030.0,77.4,33299999.999999996,4850.0,30.10000000000001,23099999.999999996,Economic Growth Only
Philippines,1960,905.0,61.3,28500000.0,2020,3430.0,71.8,112000000.0,2525.0,10.5,83500000.0,Balanced Development
Rwanda,1960,551.0,42.2,2970000.0,2020,780.0,68.7,13100000.0,229.0,26.5,10130000.0,Balanced Development
Samoa,1960,890.0,60.7,113000.0,2020,4050.0,70.5,215000.0,3160.0,9.799999999999997,102000.0,Balanced Development
Sao Tome and Principe,1960,478.0,45.0,68000.0,2020,2060.0,70.7,219000.0,1582.0,25.700000000000003,151000.0,Balanced Development
Senegal,1960,1890.0,46.9,3270000.0,2020,1430.0,68.5,16399999.999999998,-460.0,21.6,13129999.999999998,Balanced Development
Serbia,1960,2390.0,63.5,6580000.0,2020,7420.0,75.2,7360000.0,5030.0,11.700000000000003,780000.0,Economic Growth Only
Sierra Leone,1960,280.0,42.7,2300000.0,2020,510.0,61.9,8230000.0,230.0,19.199999999999996,5930000.0,Balanced Development
Solomon Islands,1960,609.0,45.8,133000.0,2020,2300.0,59.2,691000.0,1691.0,13.400000000000006,558000.0,Balanced Development
Somalia,1960,340.0,45.0,2870000.0,2020,320.0,58.6,16500000.0,-20.0,13.600000000000001,13630000.0,Balanced Development
South Africa,1960,3620.0,53.9,16500000.0,2020,6010.0,64.3,58800000.0,2390.0,10.399999999999999,42300000.0,Balanced Development
South Sudan,1960,623.0,48.6,2910000.0,2020,997.0,63.9,10600000.0,374.0,15.299999999999997,7690000.0,Balanced Development
Sri Lanka,1960,534.0,64.0,9780000.0,2020,3720.0,77.3,21700000.0,3186.0,13.299999999999997,11920000.0,Balanced Development
St. Lucia,1960,1120.0,59.2,91600.0,2020,8560.0,75.2,179000.0,7440.0,16.0,87400.0,Economic Growth Only
St. Vincent and the Grenadines,1960,1910.0,61.0,84100.0,2020,7310.0,73.0,105000.0,5400.0,12.0,20900.0,Economic Growth Only
Sudan,1960,1460.0,49.8,8330000.0,2020,650.0,70.5,44400000.0,-810.0,20.700000000000003,36070000.0,Balanced Development
Suriname,1960,2810.0,63.0,268000.0,2020,4620.0,72.4,607000.0,1810.0,9.400000000000006,339000.0,Balanced Development
Syria,1960,3840.0,61.0,4610000.0,2020,1220.0,74.4,20800000.0,-2620.0,13.400000000000006,16190000.0,Balanced Development
Tajikistan,1960,904.0,52.5,2130000.0,2020,1060.0,69.6,9540000.0,156.0,17.099999999999994,7410000.0,Balanced Development
Tanzania,1960,219.0,45.3,10000000.0,2020,1080.0,67.3,61700000.0,861.0,22.0,51700000.0,Balanced Development
Thailand,1960,695.0,60.9,26600000.0,2020,7040.0,78.5,71500000.0,6345.0,17.6,44900000.0,Economic Growth Only
Timor-Leste,1960,363.0,45.7,469000.0,2020,1990.0,70.7,1300000.0,1627.0,25.0,831000.0,Balanced Development
Togo,1960,649.0,47.0,1650000.0,2020,920.0,65.2,8440000.0,271.0,18.200000000000003,6790000.0,Balanced Development
Tonga,1960,849.0,64.6,67400.0,2020,5190.0,73.0,105000.0,4341.0,8.400000000000006,37600.0,Potential Hollow Growth
Tunisia,1960,1160.0,49.4,4200000.0,2020,3300.0,77.0,12200000.0,2140.0,27.6,8000000.0,Balanced Development
Turkey,1960,1010.0,49.5,27500000.0,2020,9050.0,77.8,84100000.0,8040.0,28.299999999999997,56600000.0,Economic Growth Only
Turkmenistan,1960,1660.0,55.1,1600000.0,2020,7310.0,70.9,6250000.0,5650.0,15.800000000000004,4650000.0,Economic Growth Only
Uganda,1960,1060.0,49.0,7620000.0,2020,800.0,66.4,44400000.0,-260.0,17.400000000000006,36780000.0,Balanced Development
Ukraine,1960,1160.0,71.1,42800000.0,2020,3540.0,73.2,43900000.0,2380.0,2.1000000000000085,1100000.0,Balanced Development
Uzbekistan,1960,1250.0,61.1,8369999.999999999,2020,1740.0,68.4,33500000.0,490.0,7.300000000000004,25130000.0,Balanced Development
Vanuatu,1960,1050.0,51.4,64599.99999999999,2020,3190.0,65.5,312000.0,2140.0,14.100000000000001,247400.0,Balanced Development
Venezuela,1960,5190.0,65.2,8160000.0,2020,3580.0,75.1,28500000.0,-1610.0,9.899999999999991,20340000.0,Balanced Development
Vietnam,1960,343.0,58.4,32700000.000000004,2020,2650.0,74.5,96600000.0,2307.0,16.1,63900000.0,Balanced Development
Yemen,1960,355.0,36.5,5540000.0,2020,872.0,67.8,32299999.999999996,517.0,31.299999999999997,26759999.999999996,Balanced Development
Zambia,1960,506.0,49.6,3120000.0,2020,1160.0,63.1,18900000.0,654.0,13.5,15780000.0,Balanced Development
Zimbabwe,1960,784.0,55.5,3810000.0,2020,1140.0,60.7,15700000.0,356.0,5.200000000000003,11890000.0,Balanced Development
